AÑO;MES;CATEGORIA_ALOJAMIENTO;CCAA;PROVINCIA;PERIODO_ANTELACION;PRECIO_CHECK-IN_ENTRE_SEMANA;PRECIO_CHECK-IN_FIN_SEMANA
2020;3;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;205,0;259,0
2020;3;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;77,0;96,0
2020;3;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;101,0;120,0
2020;3;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;203,0;240,0
2020;4;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;101,0;144,0
2020;4;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;132,0;189,0
2020;4;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;299,0;406,0
2020;4;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;113,0;130,0
2020;4;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;82,0;107,0
2020;4;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;;300,0
2020;4;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;96,0;133,0
2020;4;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;106,0;151,0
2020;4;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;361,0;400,0
2020;4;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;109,0;137,0
2020;4;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;151,0;191,0
2020;4;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;309,0;369,0
2020;5;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;99,0;127,0
2020;5;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;121,0;161,0
2020;5;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;265,0;281,0
2020;5;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;81,0;97,0
2020;5;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;90,0;93,0
2020;5;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;210,0;216,0
2020;5;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;81,0;100,0
2020;5;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;96,0;116,0
2020;5;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;281,0;289,0
2020;5;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;98,0;123,0
2020;5;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;138,0;168,0
2020;5;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;275,0;326,0
2020;6;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;77,0;87,0
2020;6;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;86,0;96,0
2020;6;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;164,0;165,0
2020;6;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;71,0;80,0
2020;6;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;78,0;83,0
2020;6;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;153,0;188,0
2020;6;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;75,0;79,0
2020;6;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;78,0;89,0
2020;6;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;137,0;179,0
2020;6;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;83,0;97,0
2020;6;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;125,0;147,0
2020;6;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;231,0;261,0
2020;7;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;65,0;70,0
2020;7;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;79,0;84,0
2020;7;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;170,0;178,0
2020;7;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;66,0;68,0
2020;7;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;78,0;83,0
2020;7;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;187,0;181,0
2020;7;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;63,0;68,0
2020;7;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;78,0;86,0
2020;7;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;187,0;193,0
2020;7;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;65,0;75,0
2020;7;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;74,0;82,0
2020;7;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;165,0;200,0
2020;8;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;70,0;77,0
2020;8;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;79,0;84,0
2020;8;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;173,0;179,0
2020;8;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;75,0;80,0
2020;8;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;78,0;83,0
2020;8;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;165,0;172,0
2020;8;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;74,0;80,0
2020;8;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;79,0;85,0
2020;8;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;164,0;169,0
2020;8;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;72,0;76,0
2020;8;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;78,0;84,0
2020;8;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;162,0;164,0
2020;9;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;85,0;99,0
2020;9;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;100,0;115,0
2020;9;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;163,0;187,0
2020;9;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;74,0;86,0
2020;9;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;78,0;90,0
2020;9;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;154,0;175,0
2020;9;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;77,0;88,0
2020;9;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;85,0;99,0
2020;9;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;154,0;175,0
2020;9;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;97,0;113,0
2020;9;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;118,0;137,0
2020;9;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;215,0;248,0
2020;10;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;80,0;89,0
2020;10;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;90,0;103,0
2020;10;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;154,0;180,0
2020;10;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;74,0;84,0
2020;10;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;76,0;89,0
2020;10;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;147,0;166,0
2020;10;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;75,0;85,0
2020;10;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;80,0;94,0
2020;10;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;152,0;174,0
2020;10;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;92,0;107,0
2020;10;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;119,0;137,0
2020;10;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;216,0;254,0
2020;11;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;69,0;79,0
2020;11;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;76,0;85,0
2020;11;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;155,0;162,0
2020;11;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;67,0;75,0
2020;11;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;71,0;77,0
2020;11;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;123,0;150,0
2020;11;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;67,0;75,0
2020;11;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;71,0;79,0
2020;11;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;144,0;162,0
2020;11;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;79,0;90,0
2020;11;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;96,0;112,0
2020;11;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;164,0;179,0
2020;12;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;72,0;82,0
2020;12;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;85,0;93,0
2020;12;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;172,0;185,0
2020;12;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;69,0;80,0
2020;12;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;75,0;84,0
2020;12;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;131,0;167,0
2020;12;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;70,0;80,0
2020;12;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;76,0;85,0
2020;12;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;179,0;193,0
2020;12;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;80,0;93,0
2020;12;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;94,0;103,0
2020;12;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;191,0;201,0
2021;1;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;68,0;73,0
2021;1;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;76,0;80,0
2021;1;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;144,0;154,0
2021;1;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;66,0;70,0
2021;1;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;70,0;74,0
2021;1;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;114,0;133,0
2021;1;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;65,0;70,0
