AÑO;MES;PAIS_ORIGEN;CCAA;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA
2019;10;Suecia;Andalucía;Sevilla;97,15;91,17;100,0;100,0
2019;10;Total;Andalucía;Sevilla;77,79;67,21;94,02;90,83
2019;11;Alemania;Andalucía;Sevilla;71,07;68,62;100,0;100,0
2019;11;Dinamarca;Andalucía;Sevilla;89,84;65,8;100,0;100,0
2019;11;España;Andalucía;Sevilla;74,97;65,48;93,12;85,72
2019;11;Estados Unidos de América;Andalucía;Sevilla;91,16;77,8;100,0;100,0
2019;11;Francia;Andalucía;Sevilla;69,93;70,47;100,0;80,77
2019;11;Italia;Andalucía;Sevilla;89,95;77,85;100,0;74,09
2019;11;Noruega;Andalucía;Sevilla;84,36;68,01;100,0;100,0
2019;11;Portugal;Andalucía;Sevilla;45,95;70,29;100,0;
2019;11;Reino Unido;Andalucía;Sevilla;85,6;61,9;97,82;87,01
2019;11;Suecia;Andalucía;Sevilla;69,61;65,8;100,0;100,0
2019;11;Total;Andalucía;Sevilla;78,92;70,35;93,75;81,45
2019;12;Alemania;Andalucía;Sevilla;58,41;70,91;100,0;100,0
2019;12;Dinamarca;Andalucía;Sevilla;74,24;65,8;100,0;100,0
2019;12;España;Andalucía;Sevilla;77,72;52,2;93,16;90,12
2019;12;Estados Unidos de América;Andalucía;Sevilla;89,12;65,8;100,0;100,0
2019;12;Francia;Andalucía;Sevilla;72,48;75,28;75,79;100,0
2019;12;Italia;Andalucía;Sevilla;89,74;74,79;83,86;100,0
2019;12;Noruega;Andalucía;Sevilla;52,3;65,8;100,0;100,0
2019;12;Portugal;Andalucía;Sevilla;61,28;71,7;100,0;100,0
2019;12;Reino Unido;Andalucía;Sevilla;84,97;62,56;92,54;100,0
2019;12;Suecia;Andalucía;Sevilla;;;100,0;100,0
2019;12;Total;Andalucía;Sevilla;83,78;73,54;94,21;85,67
2020;1;Alemania;Andalucía;Sevilla;72,77;63,69;100,0;77,27
2020;1;Dinamarca;Andalucía;Sevilla;84,39;65,8;100,0;100,0
2020;1;España;Andalucía;Sevilla;81,8;70,51;90,79;86,96
